ID1 ID2 kin k0 k2 nsnp relationship
1534358 sim237_fs_off1 sim237_fs_off2 0.239919562531674 0.187470756328555 0.280920477124239 5212 fullsib
1543521 sim238_fs_off1 sim238_fs_off2 0.220660647986451 0.238164679710766 0.339062960886356 5152 fullsib
1552672 sim239_fs_off1 sim239_fs_off2 0.251791594635612 0.168189561784984 0.29173419328334 4815 fullsib
1562091 sim23_fs_off1 sim23_fs_off2 0.221598883857441 0.370669183934123 0.243517527673119 4893 fullsib
1573542 sim240_fs_off1 sim240_fs_off2 0.244511008839451 0.306161678735033 0.300307054253531 5185 fullsib
1582669 sim241_fs_off1 sim241_fs_off2 0.2491893072733 0.170562898620084 0.268220286479286 5330 fullsib
1591784 sim242_fs_off1 sim242_fs_off2 0.230825623895575 0.305988268094753 0.202991950679343 5174 fullsib
1600887 sim243_fs_off1 sim243_fs_off2 0.243195601570897 0.23512449793071 0.281917100900133 4747 fullsib
1609978 sim244_fs_off1 sim244_fs_off2 0.242170546377072 0.237668042353514 0.220390263618696 5001 fullsib
1619057 sim245_fs_off1 sim245_fs_off2 0.253266808162987 0.357309553606875 0.404734445677023 5175 fullsib
1628124 sim246_fs_off1 sim246_fs_off2 0.237812755719421 0.187285518294181 0.193452920480562 5217 fullsib
1637179 sim247_fs_off1 sim247_fs_off2 0.248325281200498 0.168383385327677 0.311426576644771 4812 fullsib
1646222 sim248_fs_off1 sim248_fs_off2 0.266603540575649 0.357014679444174 0.35119823904029 5184 fullsib
1655253 sim249_fs_off1 sim249_fs_off2 0.251124631246269 0.236523844575983 0.367439768004954 5005 fullsib
1664572 sim24_fs_off1 sim24_fs_off2 0.258160159721658 0.186078545196354 0.192312164153821 5005 fullsib
1675991 sim250_fs_off1 sim250_fs_off2 0.23093108544428 0.135987060906815 0.222040232051853 5024 fullsib
1684998 sim251_fs_off1 sim251_fs_off2 0.222128662215922 0.220274342590444 0.289242962424636 5047 fullsib
1693993 sim252_fs_off1 sim252_fs_off2 0.253282363174065 0.252429008363293 0.269395280174451 4751 fullsib
1702976 sim253_fs_off1 sim253_fs_off2 0.270328918027542 0.204029406538016 0.352523413263419 5092 fullsib
1711947 sim254_fs_off1 sim254_fs_off2 0.240535908795962 0.21748250888402 0.258998189370379 4725 fullsib
1720906 sim255_fs_off1 sim255_fs_off2 0.239238153175858 0.23790871081347 0.264520163165238 5014 fullsib
1729853 sim256_fs_off1 sim256_fs_off2 0.242343600189002 0.356194831404168 0.279048601833123 5039 fullsib
1738788 sim257_fs_off1 sim257_fs_off2 0.236735706494733 0.33897554078295 0.388307060749087 4922 fullsib
