name	population	region	year
VZ_2593	VZ	W	2019
VZ_2594	VZ	W	2019
VZ_2595	VZ	W	2019
VZ_2596	VZ	W	2019
VZ_2597	VZ	W	2019
VZ_2598	VZ	W	2019
VZ_2599	VZ	W	2019
VZ_2600	VZ	W	2019
VZ_2601	VZ	W	2019
VZ_2602	VZ	W	2019
VZ_2603	VZ	W	2019
VZ_2604	VZ	W	2019
VZ_2605	VZ	W	2019
VZ_2607	VZ	W	2019
VZ_2608	VZ	W	2019
VZ_2609	VZ	W	2019
VZ_2610	VZ	W	2019
VZ_2611	VZ	W	2019
VZ_2612	VZ	W	2019
VZ_2613	VZ	W	2019
VZ_2614	VZ	W	2019
VZ_2615	VZ	W	2019
VZ_2616	VZ	W	2019
VZ_2617	VZ	W	2019
VZ_2618	VZ	W	2019
VZ_2619	VZ	W	2019
VZ_2620	VZ	W	2019
VZ_2622	VZ	W	2019
VZ_2623	VZ	W	2019
